Year,rank,Realized CEO compensation,Granted CEO compensation,Decades,rank1,Avg. Realized CEO compensation,Avg. Granted CEO compensation
1989,44,61.4,45,,,,
1990,44,77.3,56.6,,,,
1991,44,93.1,68.2,,,,
1992,44,109,79.8,,,,
1993,44,108.6,99.6,,,,
1994,44,87.4,116.6,,,,
1995,44,117.6,131,,,,
1996,44,150.6,177,,,,
1997,44,223.4,234.1,,,,
1998,44,297.4,293.4,,,,
1999,44,266.1,284.4,,,,
2000,44,365.7,386.1,,,,
2001,44,210.6,322.6,,,,
2002,44,186.8,235,,,,
2003,44,228.8,227,,,,
2004,44,265.7,235,,,,
2005,44,318.4,244.5,,,,
2006,44,328.2,244.1,,,,
2007,44,330.9,242,,,,
2008,44,206.7,219.4,,,,
2009,44,177.6,178.3,,,,
2010,44,213.1,202.8,,,,
2011,44,242.4,208.1,,,,
2012,44,371.7,201.3,,,,
2013,44,318.5,209.7,,,,
2014,44,326.6,217.2,,,,
2015,44,318.8,209.5,,,,
2016,44,271.6,205.8,,,,
2017,44,302.1,193.2,,,,
2018,44,293.3,212.3,,,,
2019,44,320,222.8,,,,
1965,45,21.1,15.4,,,,
1966,45,22.3,16.3,,,,
1967,45,23.6,17.3,,,,
1968,45,24.8,18.2,,,,
1969,45,24.6,18,,,,
1970,45,24.3,17.8,,,,
1971,45,24,17.6,,,,
1972,45,23.7,17.4,,,,
1973,45,23.4,17.2,,,,
1974,45,25,18.3,,,,
1975,45,26.6,19.5,,,,
1976,45,28.2,20.7,,,,
1977,45,29.8,21.8,,,,
1978,45,31.4,23,,,,
1979,45,34.1,25,,,,
1980,45,36.9,27,,,,
1981,45,39.6,29,,,,
1982,45,42.3,31,,,,
1983,45,45,33,,,,
1984,45,47.8,35,,,,
1985,45,50.5,37,,,,
1986,45,53.2,39,,,,
1987,45,55.9,41,,,,
1988,45,58.7,43,,,,
1989,45,61.4,45,,,,
1990,45,77.3,56.6,,,,
1991,45,93.1,68.2,,,,
1992,45,109,79.8,,,,
1993,45,108.6,99.6,,,,
1994,45,87.4,116.6,,,,
1995,45,117.6,131,,,,
1996,45,150.6,177,,,,
1997,45,223.4,234.1,,,,
1998,45,297.4,293.4,,,,
1999,45,266.1,284.4,,,,
2000,45,365.7,386.1,,,,
2001,45,210.6,322.6,,,,
2002,45,186.8,235,,,,
2003,45,228.8,227,,,,
2004,45,265.7,235,,,,
2005,45,318.4,244.5,,,,
2006,45,328.2,244.1,,,,
2007,45,330.9,242,,,,
2008,45,206.7,219.4,,,,
2009,45,177.6,178.3,,,,
2010,45,213.1,202.8,,,,
2011,45,242.4,208.1,,,,
2012,45,371.7,201.3,,,,
2013,45,318.5,209.7,,,,
2014,45,326.6,217.2,,,,
2015,45,318.8,209.5,,,,
2016,45,271.6,205.8,,,,
2017,45,302.1,193.2,,,,
2018,45,293.3,212.3,,,,
2019,45,320,222.8,,,,
1965,46,21.1,15.4,,,,
1966,46,22.3,16.3,,,,
1967,46,23.6,17.3,,,,
1968,46,24.8,18.2,,,,
1969,46,24.6,18,,,,
1970,46,24.3,17.8,,,,
1971,46,24,17.6,,,,
1972,46,23.7,17.4,,,,
1973,46,23.4,17.2,,,,
1974,46,25,18.3,,,,
1975,46,26.6,19.5,,,,
1976,46,28.2,20.7,,,,
1977,46,29.8,21.8,,,,
1978,46,31.4,23,,,,
1979,46,34.1,25,,,,
1980,46,36.9,27,,,,
1981,46,39.6,29,,,,
1982,46,42.3,31,,,,
1983,46,45,33,,,,
1984,46,47.8,35,,,,
1985,46,50.5,37,,,,
1986,46,53.2,39,,,,
1987,46,55.9,41,,,,
1988,46,58.7,43,,,,
1989,46,61.4,45,,,,
1990,46,77.3,56.6,,,,
1991,46,93.1,68.2,,,,
1992,46,109,79.8,,,,
1993,46,108.6,99.6,,,,
1994,46,87.4,116.6,,,,
1995,46,117.6,131,,,,
1996,46,150.6,177,,,,
1997,46,223.4,234.1,,,,
1998,46,297.4,293.4,,,,
1999,46,266.1,284.4,,,,
2000,46,365.7,386.1,,,,
2001,46,210.6,322.6,,,,
2002,46,186.8,235,,,,
2003,46,228.8,227,,,,
2004,46,265.7,235,,,,
2005,46,318.4,244.5,,,,
2006,46,328.2,244.1,,,,
2007,46,330.9,242,,,,
2008,46,206.7,219.4,,,,
2009,46,177.6,178.3,,,,
2010,46,213.1,202.8,,,,
2011,46,242.4,208.1,,,,
2012,46,371.7,201.3,,,,
2013,46,318.5,209.7,,,,
2014,46,326.6,217.2,,,,
2015,46,318.8,209.5,,,,
2016,46,271.6,205.8,,,,
2017,46,302.1,193.2,,,,
2018,46,293.3,212.3,,,,
2019,46,320,222.8,,,,
1965,47,21.1,15.4,,,,
1966,47,22.3,16.3,,,,
1967,47,23.6,17.3,,,,
1968,47,24.8,18.2,,,,
1969,47,24.6,18,,,,
1970,47,24.3,17.8,,,,
1971,47,24,17.6,,,,
1972,47,23.7,17.4,,,,
1973,47,23.4,17.2,,,,
1974,47,25,18.3,,,,
1975,47,26.6,19.5,,,,
1976,47,28.2,20.7,,,,
1977,47,29.8,21.8,,,,
1978,47,31.4,23,,,,
1979,47,34.1,25,,,,
1980,47,36.9,27,,,,
1981,47,39.6,29,,,,
1982,47,42.3,31,,,,
1983,47,45,33,,,,
1984,47,47.8,35,,,,
1985,47,50.5,37,,,,
1986,47,53.2,39,,,,
1987,47,55.9,41,,,,
1988,47,58.7,43,,,,
1989,47,61.4,45,,,,
1990,47,77.3,56.6,,,,
1991,47,93.1,68.2,,,,
1992,47,109,79.8,,,,
1993,47,108.6,99.6,,,,
1994,47,87.4,116.6,,,,
1995,47,117.6,131,,,,
1996,47,150.6,177,,,,
1997,47,223.4,234.1,,,,
1998,47,297.4,293.4,,,,
1999,47,266.1,284.4,,,,
2000,47,365.7,386.1,,,,
2001,47,210.6,322.6,,,,
2002,47,186.8,235,,,,
2003,47,228.8,227,,,,
2004,47,265.7,235,,,,
2005,47,318.4,244.5,,,,
2006,47,328.2,244.1,,,,
2007,47,330.9,242,,,,
2008,47,206.7,219.4,,,,
2009,47,177.6,178.3,,,,
2010,47,213.1,202.8,,,,
2011,47,242.4,208.1,,,,
2012,47,371.7,201.3,,,,
2013,47,318.5,209.7,,,,
2014,47,326.6,217.2,,,,
2015,47,318.8,209.5,,,,
2016,47,271.6,205.8,,,,
2017,47,302.1,193.2,,,,
2018,47,293.3,212.3,,,,
2019,47,320,222.8,,,,
1965,48,21.1,15.4,,,,
1966,48,22.3,16.3,,,,
1967,48,23.6,17.3,,,,
1968,48,24.8,18.2,,,,
1969,48,24.6,18,,,,
1970,48,24.3,17.8,,,,
1971,48,24,17.6,,,,
1972,48,23.7,17.4,,,,
1973,48,23.4,17.2,,,,
1974,48,25,18.3,,,,
1975,48,26.6,19.5,,,,
1976,48,28.2,20.7,,,,
1977,48,29.8,21.8,,,,
1978,48,31.4,23,,,,
1979,48,34.1,25,,,,
1980,48,36.9,27,,,,
1981,48,39.6,29,,,,
1982,48,42.3,31,,,,
1983,48,45,33,,,,
1984,48,47.8,35,,,,
1985,48,50.5,37,,,,
1986,48,53.2,39,,,,
1987,48,55.9,41,,,,
1988,48,58.7,43,,,,
1989,48,61.4,45,,,,
1990,48,77.3,56.6,,,,
1991,48,93.1,68.2,,,,
1992,48,109,79.8,,,,
1993,48,108.6,99.6,,,,
1994,48,87.4,116.6,,,,
1995,48,117.6,131,,,,
1996,48,150.6,177,,,,
1997,48,223.4,234.1,,,,
1998,48,297.4,293.4,,,,
1999,48,266.1,284.4,,,,
2000,48,365.7,386.1,,,,
2001,48,210.6,322.6,,,,
2002,48,186.8,235,,,,
2003,48,228.8,227,,,,
2004,48,265.7,235,,,,
2005,48,318.4,244.5,,,,
2006,48,328.2,244.1,,,,
2007,48,330.9,242,,,,
2008,48,206.7,219.4,,,,
2009,48,177.6,178.3,,,,
2010,48,213.1,202.8,,,,
2011,48,242.4,208.1,,,,
2012,48,371.7,201.3,,,,
2013,48,318.5,209.7,,,,
2014,48,326.6,217.2,,,,
2015,48,318.8,209.5,,,,
2016,48,271.6,205.8,,,,
2017,48,302.1,193.2,,,,
2018,48,293.3,212.3,,,,
2019,48,320,222.8,,,,
1965,49,21.1,15.4,,,,
1966,49,22.3,16.3,,,,
1967,49,23.6,17.3,,,,
1968,49,24.8,18.2,,,,
1969,49,24.6,18,,,,
1970,49,24.3,17.8,,,,
1971,49,24,17.6,,,,
1972,49,23.7,17.4,,,,
1973,49,23.4,17.2,,,,
1974,49,25,18.3,,,,
1975,49,26.6,19.5,,,,
1976,49,28.2,20.7,,,,
1977,49,29.8,21.8,,,,
1978,49,31.4,23,,,,
1979,49,34.1,25,,,,
1980,49,36.9,27,,,,
1981,49,39.6,29,,,,
1982,49,42.3,31,,,,
1983,49,45,33,,,,
1984,49,47.8,35,,,,
1985,49,50.5,37,,,,
1986,49,53.2,39,,,,
1987,49,55.9,41,,,,
1988,49,58.7,43,,,,
1989,49,61.4,45,,,,
1990,49,77.3,56.6,,,,
1991,49,93.1,68.2,,,,
1992,49,109,79.8,,,,
1993,49,108.6,99.6,,,,
1994,49,87.4,116.6,,,,
1995,49,117.6,131,,,,
1996,49,150.6,177,,,,
1997,49,223.4,234.1,,,,
1998,49,297.4,293.4,,,,
1999,49,266.1,284.4,,,,
2000,49,365.7,386.1,,,,
2001,49,210.6,322.6,,,,
2002,49,186.8,235,,,,
2003,49,228.8,227,,,,
2004,49,265.7,235,,,,
2005,49,318.4,244.5,,,,
2006,49,328.2,244.1,,,,
2007,49,330.9,242,,,,
2008,49,206.7,219.4,,,,
2009,49,177.6,178.3,,,,
2010,49,213.1,202.8,,,,
2011,49,242.4,208.1,,,,
2012,49,371.7,201.3,,,,
2013,49,318.5,209.7,,,,
2014,49,326.6,217.2,,,,
2015,49,318.8,209.5,,,,
2016,49,271.6,205.8,,,,
2017,49,302.1,193.2,,,,
2018,49,293.3,212.3,,,,
2019,49,320,222.8,,,,
1965,50,21.1,15.4,,,,
1966,50,22.3,16.3,,,,
1967,50,23.6,17.3,,,,
1968,50,24.8,18.2,,,,
1969,50,24.6,18,,,,
1970,50,24.3,17.8,,,,
1971,50,24,17.6,,,,
1972,50,23.7,17.4,,,,
1973,50,23.4,17.2,,,,
1974,50,25,18.3,,,,
1975,50,26.6,19.5,,,,
1976,50,28.2,20.7,,,,
1977,50,29.8,21.8,,,,
1978,50,31.4,23,,,,
1979,50,34.1,25,,,,
1980,50,36.9,27,,,,
1981,50,39.6,29,,,,
1982,50,42.3,31,,,,
1983,50,45,33,,,,
1984,50,47.8,35,,,,
1985,50,50.5,37,,,,
1986,50,53.2,39,,,,
1987,50,55.9,41,,,,
1988,50,58.7,43,,,,
1989,50,61.4,45,,,,
1990,50,77.3,56.6,,,,
1991,50,93.1,68.2,,,,
1992,50,109,79.8,,,,
1993,50,108.6,99.6,,,,
1994,50,87.4,116.6,,,,
1995,50,117.6,131,,,,
1996,50,150.6,177,,,,
1997,50,223.4,234.1,,,,
1998,50,297.4,293.4,,,,
1999,50,266.1,284.4,,,,
2000,50,365.7,386.1,,,,
2001,50,210.6,322.6,,,,
2002,50,186.8,235,,,,
2003,50,228.8,227,,,,
2004,50,265.7,235,,,,
2005,50,318.4,244.5,,,,
2006,50,328.2,244.1,,,,
2007,50,330.9,242,,,,
2008,50,206.7,219.4,,,,
2009,50,177.6,178.3,,,,
2010,50,213.1,202.8,,,,
2011,50,242.4,208.1,,,,
2012,50,371.7,201.3,,,,
2013,50,318.5,209.7,,,,
2014,50,326.6,217.2,,,,
2015,50,318.8,209.5,,,,
2016,50,271.6,205.8,,,,
2017,50,302.1,193.2,,,,
2018,50,293.3,212.3,,,,
2019,50,320,222.8,,,,
1965,51,21.1,15.4,,,,
1966,51,22.3,16.3,,,,
1967,51,23.6,17.3,,,,
1968,51,24.8,18.2,,,,
1969,51,24.6,18,,,,
1970,51,24.3,17.8,,,,
1971,51,24,17.6,,,,
1972,51,23.7,17.4,,,,
1973,51,23.4,17.2,,,,
1974,51,25,18.3,,,,
1975,51,26.6,19.5,,,,
1976,51,28.2,20.7,,,,
1977,51,29.8,21.8,,,,
1978,51,31.4,23,,,,
1979,51,34.1,25,,,,
1980,51,36.9,27,,,,
1981,51,39.6,29,,,,
1982,51,42.3,31,,,,
1983,51,45,33,,,,
1984,51,47.8,35,,,,
1985,51,50.5,37,,,,
1986,51,53.2,39,,,,
1987,51,55.9,41,,,,
1988,51,58.7,43,,,,
1989,51,61.4,45,,,,
1990,51,77.3,56.6,,,,
1991,51,93.1,68.2,,,,
1992,51,109,79.8,,,,
1993,51,108.6,99.6,,,,
1994,51,87.4,116.6,,,,
1995,51,117.6,131,,,,
1996,51,150.6,177,,,,
1997,51,223.4,234.1,,,,
1998,51,297.4,293.4,,,,
1999,51,266.1,284.4,,,,
2000,51,365.7,386.1,,,,
2001,51,210.6,322.6,,,,
2002,51,186.8,235,,,,
2003,51,228.8,227,,,,
2004,51,265.7,235,,,,
2005,51,318.4,244.5,,,,
2006,51,328.2,244.1,,,,
2007,51,330.9,242,,,,
2008,51,206.7,219.4,,,,
2009,51,177.6,178.3,,,,
2010,51,213.1,202.8,,,,
2011,51,242.4,208.1,,,,
2012,51,371.7,201.3,,,,
2013,51,318.5,209.7,,,,
2014,51,326.6,217.2,,,,
2015,51,318.8,209.5,,,,
2016,51,271.6,205.8,,,,
2017,51,302.1,193.2,,,,
2018,51,293.3,212.3,,,,
2019,51,320,222.8,,,,
1965,52,21.1,15.4,,,,
1966,52,22.3,16.3,,,,
1967,52,23.6,17.3,,,,
1968,52,24.8,18.2,,,,
1969,52,24.6,18,,,,
1970,52,24.3,17.8,,,,
1971,52,24,17.6,,,,
1972,52,23.7,17.4,,,,
1973,52,23.4,17.2,,,,
1974,52,25,18.3,,,,
1975,52,26.6,19.5,,,,
1976,52,28.2,20.7,,,,
1977,52,29.8,21.8,,,,
1978,52,31.4,23,,,,
1979,52,34.1,25,,,,
1980,52,36.9,27,,,,
1981,52,39.6,29,,,,
1982,52,42.3,31,,,,
1983,52,45,33,,,,
1984,52,47.8,35,,,,
1985,52,50.5,37,,,,
1986,52,53.2,39,,,,
1987,52,55.9,41,,,,
1988,52,58.7,43,,,,
1989,52,61.4,45,,,,
1990,52,77.3,56.6,,,,
1991,52,93.1,68.2,,,,
1992,52,109,79.8,,,,
1993,52,108.6,99.6,,,,
1994,52,87.4,116.6,,,,
1995,52,117.6,131,,,,
1996,52,150.6,177,,,,
1997,52,223.4,234.1,,,,
1998,52,297.4,293.4,,,,
1999,52,266.1,284.4,,,,
2000,52,365.7,386.1,,,,
2001,52,210.6,322.6,,,,
2002,52,186.8,235,,,,
2003,52,228.8,227,,,,
2004,52,265.7,235,,,,
2005,52,318.4,244.5,,,,
2006,52,328.2,244.1,,,,
2007,52,330.9,242,,,,
2008,52,206.7,219.4,,,,
2009,52,177.6,178.3,,,,
2010,52,213.1,202.8,,,,
2011,52,242.4,208.1,,,,
2012,52,371.7,201.3,,,,
2013,52,318.5,209.7,,,,
2014,52,326.6,217.2,,,,
2015,52,318.8,209.5,,,,
2016,52,271.6,205.8,,,,
2017,52,302.1,193.2,,,,
2018,52,293.3,212.3,,,,
2019,52,320,222.8,,,,
1965,53,21.1,15.4,,,,
1966,53,22.3,16.3,,,,
1967,53,23.6,17.3,,,,
1968,53,24.8,18.2,,,,
1969,53,24.6,18,,,,
1970,53,24.3,17.8,,,,
1971,53,24,17.6,,,,
1972,53,23.7,17.4,,,,
1973,53,23.4,17.2,,,,
1974,53,25,18.3,,,,
1975,53,26.6,19.5,,,,
1976,53,28.2,20.7,,,,
1977,53,29.8,21.8,,,,
1978,53,31.4,23,,,,
1979,53,34.1,25,,,,
1980,53,36.9,27,,,,
1981,53,39.6,29,,,,
1982,53,42.3,31,,,,
1983,53,45,33,,,,
1984,53,47.8,35,,,,
1985,53,50.5,37,,,,
1986,53,53.2,39,,,,
1987,53,55.9,41,,,,
1988,53,58.7,43,,,,
1989,53,61.4,45,,,,
1990,53,77.3,56.6,,,,
1991,53,93.1,68.2,,,,
1992,53,109,79.8,,,,
1993,53,108.6,99.6,,,,
1994,53,87.4,116.6,,,,
1995,53,117.6,131,,,,
1996,53,150.6,177,,,,
1997,53,223.4,234.1,,,,
1998,53,297.4,293.4,,,,
1999,53,266.1,284.4,,,,
2000,53,365.7,386.1,,,,
2001,53,210.6,322.6,,,,
2002,53,186.8,235,,,,
2003,53,228.8,227,,,,
2004,53,265.7,235,,,,
2005,53,318.4,244.5,,,,
2006,53,328.2,244.1,,,,
2007,53,330.9,242,,,,
2008,53,206.7,219.4,,,,
2009,53,177.6,178.3,,,,
2010,53,213.1,202.8,,,,
2011,53,242.4,208.1,,,,
2012,53,371.7,201.3,,,,
2013,53,318.5,209.7,,,,
2014,53,326.6,217.2,,,,
2015,53,318.8,209.5,,,,
2016,53,271.6,205.8,,,,
2017,53,302.1,193.2,,,,
2018,53,293.3,212.3,,,,
2019,53,320,222.8,,,,
1965,54,21.1,15.4,,,,
1966,54,22.3,16.3,,,,
1967,54,23.6,17.3,,,,
1968,54,24.8,18.2,,,,
1969,54,24.6,18,,,,
1970,54,24.3,17.8,,,,
1971,54,24,17.6,,,,
1972,54,23.7,17.4,,,,
1973,54,23.4,17.2,,,,
1974,54,25,18.3,,,,
1975,54,26.6,19.5,,,,
1976,54,28.2,20.7,,,,
1977,54,29.8,21.8,,,,
1978,54,31.4,23,,,,
1979,54,34.1,25,,,,
1980,54,36.9,27,,,,
1981,54,39.6,29,,,,
1982,54,42.3,31,,,,
1983,54,45,33,,,,
1984,54,47.8,35,,,,
1985,54,50.5,37,,,,
1986,54,53.2,39,,,,
1987,54,55.9,41,,,,
1988,54,58.7,43,,,,
1989,54,61.4,45,,,,
1990,54,77.3,56.6,,,,
1991,54,93.1,68.2,,,,
1992,54,109,79.8,,,,
1993,54,108.6,99.6,,,,
1994,54,87.4,116.6,,,,
1995,54,117.6,131,,,,
1996,54,150.6,177,,,,
1997,54,223.4,234.1,,,,
1998,54,297.4,293.4,,,,
1999,54,266.1,284.4,,,,
2000,54,365.7,386.1,,,,
2001,54,210.6,322.6,,,,
2002,54,186.8,235,,,,
2003,54,228.8,227,,,,
2004,54,265.7,235,,,,
2005,54,318.4,244.5,,,,
2006,54,328.2,244.1,,,,
2007,54,330.9,242,,,,
2008,54,206.7,219.4,,,,
2009,54,177.6,178.3,,,,
2010,54,213.1,202.8,,,,
2011,54,242.4,208.1,,,,
2012,54,371.7,201.3,,,,
2013,54,318.5,209.7,,,,
2014,54,326.6,217.2,,,,
2015,54,318.8,209.5,,,,
2016,54,271.6,205.8,,,,
2017,54,302.1,193.2,,,,
2018,54,293.3,212.3,,,,
2019,54,320,222.8,,,,
1965,55,21.1,15.4,,,,
1966,55,22.3,16.3,,,,
1967,55,23.6,17.3,,,,
1968,55,24.8,18.2,,,,
1969,55,24.6,18,,,,
1970,55,24.3,17.8,,,,
1971,55,24,17.6,,,,
1972,55,23.7,17.4,,,,
1973,55,23.4,17.2,,,,
1974,55,25,18.3,,,,
1975,55,26.6,19.5,,,,
1976,55,28.2,20.7,,,,
1977,55,29.8,21.8,,,,
1978,55,31.4,23,,,,
1979,55,34.1,25,,,,
1980,55,36.9,27,,,,
1981,55,39.6,29,,,,
1982,55,42.3,31,,,,
1983,55,45,33,,,,
1984,55,47.8,35,,,,
1985,55,50.5,37,,,,
1986,55,53.2,39,,,,
1987,55,55.9,41,,,,
1988,55,58.7,43,,,,
1989,55,61.4,45,,,,
1990,55,77.3,56.6,,,,
1991,55,93.1,68.2,,,,
1992,55,109,79.8,,,,
1993,55,108.6,99.6,,,,
1994,55,87.4,116.6,,,,
1995,55,117.6,131,,,,
1996,55,150.6,177,,,,
1997,55,223.4,234.1,,,,
1998,55,297.4,293.4,,,,
1999,55,266.1,284.4,,,,
2000,55,365.7,386.1,,,,
2001,55,210.6,322.6,,,,
2002,55,186.8,235,,,,
2003,55,228.8,227,,,,
2004,55,265.7,235,,,,
2005,55,318.4,244.5,,,,
2006,55,328.2,244.1,,,,
2007,55,330.9,242,,,,
2008,55,206.7,219.4,,,,
2009,55,177.6,178.3,,,,
2010,55,213.1,202.8,,,,
2011,55,242.4,208.1,,,,
2012,55,371.7,201.3,,,,
2013,55,318.5,209.7,,,,
2014,55,326.6,217.2,,,,
2015,55,318.8,209.5,,,,
2016,55,271.6,205.8,,,,
2017,55,302.1,193.2,,,,
2018,55,293.3,212.3,,,,
2019,55,320,222.8,,,,
1965,56,21.1,15.4,,,,
1966,56,22.3,16.3,,,,
1967,56,23.6,17.3,,,,
1968,56,24.8,18.2,,,,
1969,56,24.6,18,,,,
1970,56,24.3,17.8,,,,
1971,56,24,17.6,,,,
1972,56,23.7,17.4,,,,
1973,56,23.4,17.2,,,,
1974,56,25,18.3,,,,
1975,56,26.6,19.5,,,,
1976,56,28.2,20.7,,,,
1977,56,29.8,21.8,,,,
1978,56,31.4,23,,,,
1979,56,34.1,25,,,,
1980,56,36.9,27,,,,
1981,56,39.6,29,,,,
1982,56,42.3,31,,,,
1983,56,45,33,,,,
1984,56,47.8,35,,,,
1985,56,50.5,37,,,,
1986,56,53.2,39,,,,
1987,56,55.9,41,,,,
1988,56,58.7,43,,,,
1989,56,61.4,45,,,,
1990,56,77.3,56.6,,,,
1991,56,93.1,68.2,,,,
1992,56,109,79.8,,,,
1993,56,108.6,99.6,,,,
1994,56,87.4,116.6,,,,
1995,56,117.6,131,,,,
1996,56,150.6,177,,,,
1997,56,223.4,234.1,,,,
1998,56,297.4,293.4,,,,
1999,56,266.1,284.4,,,,
2000,56,365.7,386.1,,,,
2001,56,210.6,322.6,,,,
2002,56,186.8,235,,,,
2003,56,228.8,227,,,,
2004,56,265.7,235,,,,
2005,56,318.4,244.5,,,,
2006,56,328.2,244.1,,,,
2007,56,330.9,242,,,,
2008,56,206.7,219.4,,,,
2009,56,177.6,178.3,,,,
2010,56,213.1,202.8,,,,
2011,56,242.4,208.1,,,,
2012,56,371.7,201.3,,,,
2013,56,318.5,209.7,,,,
2014,56,326.6,217.2,,,,
2015,56,318.8,209.5,,,,
2016,56,271.6,205.8,,,,
2017,56,302.1,193.2,,,,
2018,56,293.3,212.3,,,,
2019,56,320,222.8,,,,
1965,57,21.1,15.4,,,,
1966,57,22.3,16.3,,,,
1967,57,23.6,17.3,,,,
1968,57,24.8,18.2,,,,
1969,57,24.6,18,,,,
1970,57,24.3,17.8,,,,
1971,57,24,17.6,,,,
1972,57,23.7,17.4,,,,
1973,57,23.4,17.2,,,,
1974,57,25,18.3,,,,
1975,57,26.6,19.5,,,,
1976,57,28.2,20.7,,,,
1977,57,29.8,21.8,,,,
1978,57,31.4,23,,,,
1979,57,34.1,25,,,,
1980,57,36.9,27,,,,
1981,57,39.6,29,,,,
1982,57,42.3,31,,,,
1983,57,45,33,,,,
1984,57,47.8,35,,,,
1985,57,50.5,37,,,,
1986,57,53.2,39,,,,
1987,57,55.9,41,,,,
1988,57,58.7,43,,,,
1989,57,61.4,45,,,,
1990,57,77.3,56.6,,,,
1991,57,93.1,68.2,,,,
1992,57,109,79.8,,,,
1993,57,108.6,99.6,,,,
1994,57,87.4,116.6,,,,
1995,57,117.6,131,,,,
1996,57,150.6,177,,,,
1997,57,223.4,234.1,,,,
1998,57,297.4,293.4,,,,
1999,57,266.1,284.4,,,,
2000,57,365.7,386.1,,,,
2001,57,210.6,322.6,,,,
2002,57,186.8,235,,,,
2003,57,228.8,227,,,,
2004,57,265.7,235,,,,
2005,57,318.4,244.5,,,,
2006,57,328.2,244.1,,,,
2007,57,330.9,242,,,,
2008,57,206.7,219.4,,,,
2009,57,177.6,178.3,,,,
2010,57,213.1,202.8,,,,
2011,57,242.4,208.1,,,,
2012,57,371.7,201.3,,,,
2013,57,318.5,209.7,,,,
2014,57,326.6,217.2,,,,
2015,57,318.8,209.5,,,,
2016,57,271.6,205.8,,,,
2017,57,302.1,193.2,,,,
2018,57,293.3,212.3,,,,
2019,57,320,222.8,,,,
1965,58,21.1,15.4,,,,
1966,58,22.3,16.3,,,,
1967,58,23.6,17.3,,,,
1968,58,24.8,18.2,,,,
1969,58,24.6,18,,,,
1970,58,24.3,17.8,,,,
1971,58,24,17.6,,,,
1972,58,23.7,17.4,,,,
1973,58,23.4,17.2,,,,
1974,58,25,18.3,,,,
1975,58,26.6,19.5,,,,
1976,58,28.2,20.7,,,,
1977,58,29.8,21.8,,,,
1978,58,31.4,23,,,,
1979,58,34.1,25,,,,
1980,58,36.9,27,,,,
1981,58,39.6,29,,,,
1982,58,42.3,31,,,,
1983,58,45,33,,,,
1984,58,47.8,35,,,,
1985,58,50.5,37,,,,
1986,58,53.2,39,,,,
1987,58,55.9,41,,,,
1988,58,58.7,43,,,,
1989,58,61.4,45,,,,
1990,58,77.3,56.6,,,,
1991,58,93.1,68.2,,,,
1992,58,109,79.8,,,,
1993,58,108.6,99.6,,,,
1994,58,87.4,116.6,,,,
1995,58,117.6,131,,,,
1996,58,150.6,177,,,,
1997,58,223.4,234.1,,,,
1998,58,297.4,293.4,,,,
1999,58,266.1,284.4,,,,
2000,58,365.7,386.1,,,,
2001,58,210.6,322.6,,,,
2002,58,186.8,235,,,,
2003,58,228.8,227,,,,
2004,58,265.7,235,,,,
2005,58,318.4,244.5,,,,
2006,58,328.2,244.1,,,,
2007,58,330.9,242,,,,
2008,58,206.7,219.4,,,,
2009,58,177.6,178.3,,,,
2010,58,213.1,202.8,,,,
2011,58,242.4,208.1,,,,
2012,58,371.7,201.3,,,,
2013,58,318.5,209.7,,,,
2014,58,326.6,217.2,,,,
2015,58,318.8,209.5,,,,
2016,58,271.6,205.8,,,,
2017,58,302.1,193.2,,,,
2018,58,293.3,212.3,,,,
2019,58,320,222.8,,,,
1965,59,21.1,15.4,,,,
1966,59,22.3,16.3,,,,
1967,59,23.6,17.3,,,,
1968,59,24.8,18.2,,,,
1969,59,24.6,18,,,,
1970,59,24.3,17.8,,,,
1971,59,24,17.6,,,,
1972,59,23.7,17.4,,,,
1973,59,23.4,17.2,,,,
1974,59,25,18.3,,,,
1975,59,26.6,19.5,,,,
1976,59,28.2,20.7,,,,
1977,59,29.8,21.8,,,,
1978,59,31.4,23,,,,
1979,59,34.1,25,,,,
1980,59,36.9,27,,,,
1981,59,39.6,29,,,,
1982,59,42.3,31,,,,
1983,59,45,33,,,,
1984,59,47.8,35,,,,
1985,59,50.5,37,,,,
1986,59,53.2,39,,,,
1987,59,55.9,41,,,,
1988,59,58.7,43,,,,
1989,59,61.4,45,,,,
1990,59,77.3,56.6,,,,
1991,59,93.1,68.2,,,,
1992,59,109,79.8,,,,
1993,59,108.6,99.6,,,,
1994,59,87.4,116.6,,,,
1995,59,117.6,131,,,,
1996,59,150.6,177,,,,
1997,59,223.4,234.1,,,,
1998,59,297.4,293.4,,,,
1999,59,266.1,284.4,,,,
2000,59,365.7,386.1,,,,
2001,59,210.6,322.6,,,,
2002,59,186.8,235,,,,
2003,59,228.8,227,,,,
2004,59,265.7,235,,,,
2005,59,318.4,244.5,,,,
2006,59,328.2,244.1,,,,
2007,59,330.9,242,,,,
2008,59,206.7,219.4,,,,
2009,59,177.6,178.3,,,,
2010,59,213.1,202.8,,,,
2011,59,242.4,208.1,,,,
2012,59,371.7,201.3,,,,
2013,59,318.5,209.7,,,,
2014,59,326.6,217.2,,,,
2015,59,318.8,209.5,,,,
2016,59,271.6,205.8,,,,
2017,59,302.1,193.2,,,,
2018,59,293.3,212.3,,,,
2019,59,320,222.8,,,,
1965,60,21.1,15.4,,,,
1966,60,22.3,16.3,,,,
1967,60,23.6,17.3,,,,
1968,60,24.8,18.2,,,,
1969,60,24.6,18,,,,
1970,60,24.3,17.8,,,,
1971,60,24,17.6,,,,
